,STATE,TYPE OF PRODUCER,GENERATION
0,PA,"Electric Generators, Independent Power Producers",230502987.0
0,PA,"Electric Generators, Electric Utilities",108593.0
0,RI,"Combined Heat and Power, Industrial Power",137274.0
0,RI,"Combined Heat and Power, Commercial Power",57447.0
0,RI,"Electric Generators, Independent Power Producers",7840292.0
0,RI,"Electric Generators, Electric Utilities",2.0
0,SC,"Combined Heat and Power, Industrial Power",1804883.0
0,SC,"Combined Heat and Power, Commercial Power",2208.0
0,SC,"Combined Heat and Power, Electric Power",681914.0
0,SC,"Electric Generators, Independent Power Producers",3103724.0
0,SC,"Electric Generators, Electric Utilities",94331674.0
0,SD,"Combined Heat and Power, Industrial Power",28443.0
0,SD,"Combined Heat and Power, Commercial Power",12.0
0,SD,"Electric Generators, Independent Power Producers",7900910.0
0,SD,"Electric Generators, Electric Utilities",9905268.0
0,TN,"Combined Heat and Power, Industrial Power",2204479.0
0,TN,"Combined Heat and Power, Commercial Power",205812.0
0,TN,"Electric Generators, Independent Power Producers",465366.0
0,TN,"Electric Generators, Electric Utilities",78603226.0
0,TX,"Combined Heat and Power, Industrial Power",41286435.0
0,TX,"Combined Heat and Power, Commercial Power",612266.0
0,TX,"Combined Heat and Power, Electric Power",41947893.0
0,TX,"Electric Generators, Independent Power Producers",317632263.0
0,TX,"Electric Generators, Electric Utilities",82082918.0
0,US-TOTAL,"Combined Heat and Power, Industrial Power",139607169.0
0,US-TOTAL,"Combined Heat and Power, Commercial Power",13147622.0
0,US-TOTAL,"Combined Heat and Power, Electric Power",132382347.0
0,US-TOTAL,"Electric Generators, Independent Power Producers",1614168959.0
0,US-TOTAL,"Electric Generators, Electric Utilities",2216234058.0
0,UT,"Combined Heat and Power, Industrial Power",416951.0
0,UT,"Combined Heat and Power, Commercial Power",126451.0
0,UT,"Combined Heat and Power, Electric Power",53816.0
0,UT,"Electric Generators, Independent Power Producers",4947012.0
0,UT,"Electric Generators, Electric Utilities",37112552.0
0,VA,"Combined Heat and Power, Industrial Power",2333896.0
0,VA,"Combined Heat and Power, Commercial Power",331937.0
0,VA,"Combined Heat and Power, Electric Power",1012106.0
0,VA,"Electric Generators, Independent Power Producers",17527389.0
0,VA,"Electric Generators, Electric Utilities",73103689.0
0,VT,"Combined Heat and Power, Commercial Power",3141.0
0,VT,"Electric Generators, Independent Power Producers",1229589.0
0,VT,"Electric Generators, Electric Utilities",915002.0
0,WA,"Combined Heat and Power, Industrial Power",2101579.0
0,WA,"Combined Heat and Power, Commercial Power",28075.0
0,WA,"Electric Generators, Independent Power Producers",12882338.0
0,WA,"Electric Generators, Electric Utilities",94110726.0
0,WI,"Combined Heat and Power, Industrial Power",1451526.0
0,WI,"Combined Heat and Power, Commercial Power",139559.0
0,WI,"Combined Heat and Power, Electric Power",943291.0
0,WI,"Electric Generators, Independent Power Producers",11783588.0
0,WI,"Electric Generators, Electric Utilities",51160713.0
0,WV,"Combined Heat and Power, Industrial Power",1286665.0
0,WV,"Electric Generators, Independent Power Producers",17250096.0
0,WV,"Electric Generators, Electric Utilities",47093799.0
0,WY,"Combined Heat and Power, Industrial Power",2234720.0
0,WY,"Electric Generators, Independent Power Producers",4050482.0
0,WY,"Electric Generators, Electric Utilities",37365468.0
